Trial,Sat_Config,Total_Rods,Nominal,Reached_Steady_State,Lock_Day,W_Mag(deg/s),Wx,Wy,Wz,q0,q1,q2,q3
186,1U,4,No,Yes,8.376030,18.994453,15.607734,1.655311,10.698030,0.307010,-0.439035,-0.369444,0.759279
187,1U,4,No,Yes,6.545484,14.701435,3.897868,-8.585132,11.279819,-0.756992,-0.507339,0.203286,0.358113
188,1U,4,No,Yes,7.574756,17.919217,12.912148,5.162195,-11.301615,-0.108463,0.393672,-0.189969,0.892844
189,1U,4,No,Yes,7.635465,14.794823,-3.363470,14.407307,-0.058139,0.208156,-0.638720,-0.210755,0.710134
190,1U,4,No,Yes,6.545128,26.079474,14.056989,12.516206,18.052274,-0.920000,-0.352095,0.170243,0.025412
191,1U,4,No,Yes,3.082933,18.956341,-11.106202,-11.959633,-9.641698,0.057727,-0.752646,0.345899,0.557266
192,1U,4,No,Yes,0.980639,26.505489,-14.633517,-15.248484,15.996402,-0.087917,0.323011,-0.914951,0.225389
193,1U,4,No,Yes,0.415781,14.069604,3.433761,-2.954678,-13.320395,-0.740413,-0.059738,-0.376465,-0.553620
194,1U,4,No,Yes,2.248844,33.869448,32.690505,7.590437,4.566794,0.435917,-0.568524,-0.036007,0.696750
195,1U,4,No,Yes,1.667638,31.056468,-25.532879,-15.963060,7.599805,-0.598217,0.618155,0.048624,0.507598
196,1U,4,No,Yes,7.605723,24.132825,3.266286,-23.794931,-2.350711,0.004583,0.378903,-0.590972,-0.712154
197,1U,4,No,Yes,9.400734,30.376736,13.072819,22.365265,15.863242,-0.081995,0.506890,-0.086836,-0.853697
198,1U,4,No,Yes,5.550341,21.343056,9.403095,-3.847337,-18.769812,0.651169,0.014671,-0.752157,-0.100122
199,1U,4,No,Yes,3.690573,22.917709,18.944349,-8.883336,9.349834,-0.497998,-0.203592,-0.703355,-0.464586
200,1U,4,No,Yes,8.696425,33.167129,-27.783608,11.949971,-13.613515,-0.546230,0.008728,0.485575,0.682476
201,1U,4,Yes,Yes,2.565779,3.986661,3.272655,1.242764,1.907546,-0.092712,0.412964,0.341472,0.839203
202,1U,4,Yes,Yes,5.616428,7.847216,-3.440980,4.803166,5.164113,-0.808434,-0.030723,-0.063749,-0.584317
203,1U,4,No,Yes,1.209616,29.676502,-25.142047,-1.431712,15.701034,-0.816387,0.167856,0.045573,-0.550691
204,1U,4,No,Yes,9.401333,32.569479,-13.821076,15.297679,25.213684,-0.047888,-0.494458,-0.608003,0.619314
205,1U,4,No,Yes,9.401085,33.609125,2.431202,13.240762,30.795207,-0.122865,0.114244,-0.232550,0.958005
206,1U,4,No,Yes,1.094651,14.956349,-0.554625,-14.921015,0.864910,0.443330,-0.238094,-0.241674,0.829677
207,1U,4,No,Yes,6.448314,17.603770,-13.384850,-6.221192,-9.593502,-0.463002,-0.149076,-0.584921,0.649055
208,1U,4,Yes,Yes,2.504067,3.881726,0.481485,-3.605065,1.356272,0.329775,0.108277,-0.091586,0.933347
209,1U,4,No,Yes,9.401418,29.514934,-6.358093,26.614390,11.062559,-0.158127,-0.779660,-0.207235,0.569368
210,1U,4,Yes,Yes,1.763811,3.497347,-2.671026,2.257622,0.014308,0.221794,0.565329,0.753467,-0.251988
211,1U,4,No,Yes,3.082797,27.347883,4.932968,19.142636,-18.897936,0.964891,0.134664,-0.042466,-0.221465
212,1U,4,Yes,Yes,0.306799,8.151557,3.876289,-3.167012,-6.433685,0.356213,0.783271,-0.270616,0.431702
213,1U,4,Yes,Yes,0.431936,7.644929,6.609360,3.663345,1.158099,-0.602825,-0.479735,-0.086055,0.631705
214,1U,4,Yes,Yes,5.549870,1.688541,-0.929483,1.314959,-0.508049,-0.424817,0.521050,0.683915,0.283368
215,1U,4,Yes,Yes,0.145045,5.387256,-0.153878,-1.743024,-5.095165,0.408032,0.444969,0.760812,-0.238070
216,1U,4,Yes,Yes,0.260508,1.245616,0.968251,0.775728,-0.110885,-0.422840,-0.297712,0.818355,0.250736
217,1U,4,Yes,Yes,2.182351,3.628159,2.577568,-2.476666,0.621137,-0.722125,-0.531537,-0.428335,0.111951
218,1U,4,No,Yes,0.423916,11.698879,-7.536747,1.885045,8.746875,-0.799487,0.314893,-0.094263,-0.502771
